-1.01,-0.18,-0.05,0.0926194,0.58951,0.263401
-0.99,-0.21,-0.08,0.825174,0.0043155,0.937792
-0.99,-0.21,-0.07,0.169027,0.950618,0.91087
-1,-0.21,-0.06,0.429179,0.777724,0.156638
-0.99,-0.22,-0.06,0.110053,0.832513,0.369679
-0.99,-0.22,-0.05,0.0397005,0.54626,0.713187
-0.99,-0.21,-0.06,0.223523,0.159964,0.786918
-0.99,-0.21,-0.05,0.586558,0.681721,0.57582
-0.99,-0.21,-0.04,0.420619,0.441981,0.506078
-0.99,-0.21,-0.03,0.651684,0.967181,0.408013
-0.99,-0.19,-0.09,0.439758,0.758258,0.488836
-1,-0.2,-0.07,0.806283,0.70154,0.491737
-1,-0.19,-0.08,0.164021,0.787273,0.615811
-1,-0.19,-0.07,0.248245,0.917235,0.414023
-0.99,-0.2,-0.08,0.131492,0.205621,0.905069
-0.99,-0.2,-0.07,0.810065,0.786798,0.619843
-0.99,-0.19,-0.08,0.748344,0.550048,0.949541
-1,-0.2,-0.06,0.427917,0.297998,0.966503
-1,-0.2,-0.05,0.0238417,0.198125,0.343582
-1,-0.19,-0.06,0.748972,0.339026,0.912831
-1,-0.19,-0.05,0.0730968,0.856612,0.731537
-1,-0.2,-0.04,0.0733441,0.272969,0.59719
-1,-0.19,-0.04,0.0398406,0.335613,0.597713
-1,-0.19,-0.03,0.745234,0.647353,0.361169
-0.99,-0.2,-0.03,0.329644,0.523122,0.48064
-0.99,-0.2,-0.02,0.870649,0.487909,0.629464
-0.99,-0.19,-0.02,0.981597,0.0399642,0.245762
-0.99,-0.19,-0.01,0.0292835,0.161298,0.152304
-0.99,-0.18,-0.09,0.240713,0.146343,0.973521
-0.99,-0.17,-0.09,0.00867438,0.606587,0.388688
-1,-0.18,-0.08,0.8217,0.189021,0.609623
-1,-0.18,-0.07,0.737188,0.0894341,0.667985
-1,-0.17,-0.08,0.88517,0.680776,0.720809
-1,-0.17,-0.07,0.468581,0.536494,0.083977
-0.99,-0.17,-0.08,0.197777,0.217212,0.820497
-1,-0.18,-0.06,0.862078,0.927547,0.439557
-1,-0.17,-0.06,0.121012,0.210013,0.469531
-1,-0.17,-0.05,0.100222,0.90421,0.518339
-1,-0.18,-0.04,0.475068,0.0170728,0.683519
-1,-0.18,-0.03,0.171721,0.686684,0.472675
-1,-0.17,-0.04,0.842289,0.871923,0.145244
-1,-0.17,-0.03,0.730941,0.132073,0.290283
-1,-0.18,-0.02,0.0796543,0.965203,0.495002
-1,-0.17,-0.02,0.139092,0.948625,0.849736
-0.99,-0.18,-0.02,0.767578,0.1106,0.548974
-0.99,-0.18,-0.01,0.716914,0.518121,0.202998
-0.99,-0.17,-0.01,0.985319,0.974556,0.236124
-0.97,-0.23,-0.06,0.309684,0.419402,0.762236
-0.97,-0.23,-0.05,0.923944,0.98798,0.663096
-0.97,-0.23,-0.04,0.406523,0.0583818,0.67678
-0.97,-0.21,-0.09,0.579709,0.813444,0.331664
-0.98,-0.22,-0.07,0.873753,0.00866544,0.724415
-0.98,-0.21,-0.08,0.256538,0.881846,0.562382
-0.97,-0.22,-0.08,0.953819,0.334189,0.890088
-0.97,-0.22,-0.07,0.777554,0.37417,0.303111
-0.97,-0.21,-0.08,0.125126,0.983346,0.89759
-0.98,-0.22,-0.06,0.542768,0.0391136,0.605617
-0.98,-0.22,-0.05,0.86719,0.37363,0.768871
-0.97,-0.22,-0.06,0.958796,0.758206,0.752225
-0.98,-0.22,-0.04,0.0596089,0.204071,0.60227
-0.98,-0.22,-0.03,0.445734,0.148157,0.14907
-0.98,-0.21,-0.03,0.940481,0.891456,0.567705
-0.97,-0.22,-0.03,0.886125,0.839752,0.983145
-0.98,-0.21,-0.02,0.09112,0.200945,0.64501
-0.98,-0.21,-0.01,0.412563,0.0210396,0.580311
-0.97,-0.22,-0.02,0.331023,0.843792,0.137844
-0.97,-0.21,-0.01,0.858366,0.630881,0.0604681
-0.98,-0.2,-0.09,0.940441,0.0683172,0.657966
-0.98,-0.19,-0.09,0.864582,0.406013,0.145279
-0.97,-0.2,-0.09,0.649568,0.436552,0.727196
-0.97,-0.19,-0.09,0.140543,0.119923,0.782403
-0.98,-0.2,-0.08,0.0908211,0.616016,0.316974
-0.98,-0.2,-0.01,0.984399,0.0160133,0.871423
-0.98,-0.18,-0.09,0.0835142,0.931225,0.43741
-0.98,-0.17,-0.09,0.235455,0.899082,0.672479
-0.97,-0.18,-0.09,0.91159,0.0541416,0.299875
-0.97,-0.17,-0.09,0.946375,0.580087,0.541761
-1,-0.16,-0.07,0.277547,0.792369,0.664292
